"month","year","country","value","date","log_value"
"10","2021","Burma",8.91430650601547,Oct 2021,2.18765745872293
"11","2021","Burma",9.43458390352786,Nov 2021,2.24438207647312
"12","2021","Burma",9.6914667546328,Dec 2021,2.27124578231488
"01","2021","Burundi",0.100004283340015,Jan 2021,-2.30254226051122
"02","2021","Burundi",0.157589071975772,Feb 2021,-1.84776444421776
"03","2021","Burundi",0.209511727153677,Mar 2021,-1.5629755643194
"04","2021","Burundi",0.286196508034249,Apr 2021,-1.25107661307241
"05","2021","Burundi",0.365693985683042,May 2021,-1.00595840000239
"06","2021","Burundi",0.428788767813765,Jun 2021,-0.846790864032792
"07","2021","Burundi",0.500233020044905,Jul 2021,-0.692681249033089
"08","2021","Burundi",0.824894946874417,Aug 2021,-0.192499237877435
"09","2021","Burundi",1.21657554144958,Sep 2021,0.196039978682633
"10","2021","Burundi",1.63147535296733,Oct 2021,0.489484729960316
"11","2021","Burundi",1.70375408197886,Nov 2021,0.532834099904743
"12","2021","Burundi",1.88143587334456,Dec 2021,0.632035247741085
"01","2021","Cabo Verde",23.1639369334265,Jan 2021,3.14259662674831
"02","2021","Cabo Verde",26.5164381759524,Feb 2021,3.27776484920687
"03","2021","Cabo Verde",29.2708220437341,Mar 2021,3.37659118516539
"04","2021","Cabo Verde",36.2242830180987,Apr 2021,3.58972969554983
"05","2021","Cabo Verde",49.9001254842585,May 2021,3.91002351746891
"06","2021","Cabo Verde",56.9919374758688,Jun 2021,4.04290981003809
"07","2021","Cabo Verde",59.7194949902609,Jul 2021,4.08965851634355
"08","2021","Cabo Verde",62.003252797055,Aug 2021,4.12718684813751
"09","2021","Cabo Verde",66.0649150701094,Sep 2021,4.1906378203149
"10","2021","Cabo Verde",68.3004413880365,Oct 2021,4.22391622904542
"11","2021","Cabo Verde",68.8855994493886,Nov 2021,4.23244714963462
"12","2021","Cabo Verde",69.8420156202025,Dec 2021,4.24623577165616
"01","2021","Cambodia",0.0254588133019863,Jan 2021,-3.67069329723036
"02","2021","Cambodia",0.0324716668952208,Feb 2021,-3.42738735771382
"03","2021","Cambodia",0.0901892208403218,Mar 2021,-2.40584536193351
"04","2021","Cambodia",0.377126479055838,Apr 2021,-0.97517465958594
"05","2021","Cambodia",1.32688749495331,May 2021,0.28283597025879
"06","2021","Cambodia",2.401078790475,Jun 2021,0.875918132392073
"07","2021","Cambodia",3.88902619240336,Jul 2021,1.35815879014794
"08","2021","Cambodia",5.1369981191214,Aug 2021,1.63646888534167
"09","2021","Cambodia",6.10593199784843,Sep 2021,1.80926075731134
"10","2021","Cambodia",6.94233186727164,Oct 2021,1.93763772201166
"11","2021","Cambodia",7.14954686306153,Nov 2021,1.967048978902
"12","2021","Cambodia",7.19954209406015,Dec 2021,1.97401742595237
"01","2021","Cameroon",1.05392154742133,Jan 2021,0.0525180141622878
"02","2021","Cameroon",1.22553393413215,Feb 2021,0.203376613632987
"03","2021","Cameroon",1.52593359954122,Mar 2021,0.422606419164062
"04","2021","Cameroon",2.36857990382231,Apr 2021,0.862290578857505
"05","2021","Cameroon",2.85845756636332,May 2021,1.05028216689011
"06","2021","Cameroon",3.01334826899337,Jun 2021,1.10305184224804
"07","2021","Cameroon",3.0646120312207,Jul 2021,1.11992098102407
"08","2021","Cameroon",3.10843636629262,Aug 2021,1.13411982364516
"09","2021","Cameroon",3.21373604566045,Sep 2021,1.16743413751477
"10","2021","Cameroon",3.68750355015514,Oct 2021,1.30494968441941
"11","2021","Cameroon",3.97950380016513,Nov 2021,1.38115713819864
"12","2021","Cameroon",4.06592347541987,Dec 2021,1.402640894424
"01","2021","Canada",260.627695330224,Jan 2021,5.56309293429422
"02","2021","Canada",308.017248963154,Feb 2021,5.73015578453258
"03","2021","Canada",343.116835676507,Mar 2021,5.8380710179596
"04","2021","Canada",412.376997509031,Apr 2021,6.021937973451
"05","2021","Canada",492.508921426689,May 2021,6.19951257502003
"06","2021","Canada",522.255450387269,Jun 2021,6.25815683673888
"07","2021","Canada",529.305976389687,Jul 2021,6.27156666991995
"08","2021","Canada",542.889191030746,Aug 2021,6.29690523102587
"09","2021","Canada",581.147640145961,Sep 2021,6.36500483841893
"10","2021","Canada",623.669660980358,Oct 2021,6.4356208387388
"11","2021","Canada",652.576832309353,Nov 2021,6.48092888293046
"12","2021","Canada",710.987822063143,Dec 2021,6.56665530175662
"01","2021","Central African Republic",1.02960350350118,Jan 2021,0.0291737800729137
"02","2021","Central African Republic",1.03439688919435,Feb 2021,0.0338185411182714
"03","2021","Central African Republic",1.04656152169968,Mar 2021,0.0455100492310823
"04","2021","Central African Republic",1.19401279234348,Apr 2021,0.177319728768526
"05","2021","Central African Republic",1.41808839066764,May 2021,0.349309760911665
